Occupation,Age,Annual_Income,Interest_Rate,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Payment_Behaviour,Monthly_Balance,CONTRACT_CODE,APPROVED_AMOUNT,GRANT_DATE,EXPIRY_DATE,TENURE,TERM,LOAN_TYPE,LOAN_DESCRIPTION,LOAN_PRODUCT,LTYPE,BUSINESS_DATE,PRINCIPAL_OS,INTEREST_OS,PRINCIPAL_ARREARS,CURRENT_COMMITTMENT,INSTALLMENT_AMOUNT,INSTALLMENT_FREQ_PRINCIPAL,INSTALLMENT_FREQ_INTEREST,RISK_GRADE,ECONOMIC_SECTOR,INDUSTRY,SECTOR,TERM_OF_PAYMENT,COLLATTERAL,COLLATERAL_VALUE,year,Credit_Score,Occupation
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3.0,7,High_spent_Small_value_payments,312.49408867943663,1000000894978,5000000.0,2022-12-23,2023-11-08 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,5164795.33,0.0,0.0,164795.33,0.0,0,0,RG4,Export,"Export -Pulses,Oilseeds cake,Sesame",Export,Monthly,Automobile;Dry Cargo;Residential Houses,41480458.76,2023,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1.0,16,Low_spent_Large_value_payments,284.62916249607184,1000000908359,100000000.0,2023-05-10,2024-04-27 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,1490058.21,0.0,0.0,98509941.79,0.0,0,0,RG1,Manufacturing,Manufactureof basic iron and steel,Manufacturing,Monthly,Factory Building,100000000.0,2024,Good,Scientist
Scientist,-500,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3.0,7,Low_spent_Medium_value_payments,331.2098628537912,1000000909045,13800000.0,2023-04-11,2024-04-11 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,8886645.48,0.0,0.0,4913354.52,0.0,0,0,RG3,Export,Export of cereals,Export,Monthly,"Premises, Buildings & Houses",12755325.47,2024,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",5.0,4,Low_spent_Small_value_payments,223.45130972736786,1000000914189,200000000.0,2023-12-18,2024-11-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,199629579.84,0.0,0.0,370420.16,0.0,0,0,RG2,Export,Export of oilseeds,Individual,Monthly,"Commercial Building;Dry Cargo;Escavator;Government Bond;Others-Construction Machinery;Premises, Buildings & Houses",569164365.72,2024,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",6.0,16,High_spent_Medium_value_payments,341.48923103222177,1000000917037,30000000.0,2023-02-16,2024-01-01 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,30788599.27,0.0,0.0,788599.27,0.0,0,0,RG2,Manufacturing,"Furniture, fixture & fittings",Individual,Monthly,Dry Cargo;Factory Building;Factory Machinery;Others-Motor vehicles,80008797.0,2024,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",8.0,4,!@9#%8,340.4792117872438,1000000937097,339000000.0,2023-12-08,2024-12-15 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,189715676.98,0.0,0.0,149284323.02,0.0,0,0,RG1,Manufacturing,mfg of soap detergents & Oth,Manufacturing,Monthly,Business Mortgage;Factory Building;Factory Machinery,176730291.89,2024,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3.0,8_,Low_spent_Small_value_payments,244.5653167062043,1000001034522,15000000.0,2023-08-11,2024-08-08 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,13857633.46,0.0,0.0,1142366.54,0.0,0,0,RG2,Manufacturing,Article of cement & lime,Individual,Monthly,"Premises, Buildings & Houses",483100.27,2024,Good,Scientist
Scientist,23,19114.12,3.0,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3.0,6,High_spent_Medium_value_payments,358.12416760938714,1000001035154,44700000.0,2023-12-19,2024-05-05 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,12495280.1,0.0,0.0,32204719.9,0.0,0,0,RG3,Export,"Export -Pulses,Oilseeds cake,Sesame",Export,Monthly,Commercial Building;Dry Cargo;Factory Machinery;Government Bond;Residential Houses;Whearhouse,144780587.78,2024,Standard,Scientist
Architect,28_,34847.84,6.0,Credit-Builder Loan,3.0,4,Low_spent_Small_value_payments,470.69062692529184,1000001035577,10000000.0,2022-03-05,2024-03-31 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,9413514.54,0.0,0.0,586485.46,0.0,0,0,RG2,Export,Export - Coffee,Individual,Monthly,Dry Cargo;Factory Machinery;Personal Guarantee;Whearhouse,272909973.52,2024,Standard,_______
Teacher,28,34847.84,6.0,Credit-Builder Loan,7.0,1,High_spent_Large_value_payments,484.5912142650067,1000001036231,50000000.0,2023-12-06,2024-12-04 00:00:00,Short Term,SHORT TERM,OD,Current Account with Overdraft,OD,OD,2023-05-24,47265651.11,0.0,0.0,2734348.89,0.0,0,0,RG2,Buliding  and Construction,"Constr-roads,bridge,hospital,school",Individual,Monthly,"Apartment;Construction Machinery;Factory Building;Premises, Buildings & Houses;Residential Houses",62238846.69,2024,Good,Teacher
